aluguel,CEP,Município,Bairro,Logradouro,Condomínio,IPTU,Tamanho,Vagas na garagem,Área útil,Banheiros,Tipo,Aluguel + Condomínio,Detalhes do imóvel,Detalhes do condomínio,Área construída,Acomoda,Características
1.500,22020001,Rio de Janeiro,Copacabana,Avenida Nossa Senhora de Copacabana - de 46 a 558 - lado par,R$ 840,R$ 123,45m²,0,,,,,,,,,
1.300,20091005,Rio de Janeiro,Centro,Rua da Quitanda - de 79/80 ao fim,R$ 1.950,R$ 790,150m²,,,,,,,,,,
450,20260132,Rio de Janeiro,Estácio,Rua Haddock Lobo - até 120 - lado par,R$ 756,R$ 103,33m²,,,,,,,,,,
1.000,21050700,Rio de Janeiro,Higienópolis,Rua Astreia,R$ 320,R$ 0,,,60m²,1,Padrão,R$ 1.320,,,,,
3.200,22620311,Rio de Janeiro,Barra da Tijuca,Avenida Prefeito Dulcídio Cardoso - de 304 a 1700 - lado par,R$ 1.250,R$ 250,,1,65m²,2,Padrão,R$ 4.450,"Academia, Ar condicionado, Área de serviço, Armários na cozinha, Armários no quarto, Churrasqueira, Mobiliado, Piscina, Varanda","Academia, Condomínio fechado, Elevador, Permitido animais, Piscina, Portaria, Salão de festas, Segurança 24h",,,
15.000,20271040,Rio de Janeiro,Maracanã,Rua Pedro Guedes,R$ 0,R$ 1.515,280m²,4,,,,,,,,,
2.600,23860000,Mangaratiba,,,R$ 1.207,R$ 205,,1,60m²,2,Padrão,R$ 3.807,"Ar condicionado, Churrasqueira, Mobiliado, Piscina","Condomínio fechado, Elevador, Piscina",,,
700,20780080,Rio de Janeiro,Méier,Rua Engenheiro Julião Castelo,,R$ 30,,0,,1,Casa de vila,R$ 700,"Área de serviço, Armários na cozinha",,30m²,,
3.100,22790671,Rio de Janeiro,Recreio dos Bandeirantes,Rua Silvia Pozzano,R$ 1.150,R$ 230,,1,82m²,2,Padrão,R$ 4.250,"Ar condicionado, Área de serviço, Armários na cozinha, Armários no quarto, Varanda","Academia, Condomínio fechado, Elevador, Permitido animais, Piscina, Portaria, Salão de festas, Segurança 24h",,,
300,23520241,Rio de Janeiro,Santa Cruz,Estrada da Pedra - até 565/566,,,,0,,,,,,,,,
